,block,day,strain,exact_density,tree.sp,alive,virus,S_t,capsid
1,1,1,NMX,30,DO,9,2,7,MNPV
2,1,1,NMX,10,DO,9,0,9,MNPV
3,1,1,NMX,30,GR,8,4,4,MNPV
4,1,1,NMX,10,GR,7,2,5,MNPV
5,1,1,KLP,30,DO,11,2,9,MNPV
6,1,1,KLP,6,DO,11,1,10,MNPV
7,1,1,KLP,30,GR,6,0,6,MNPV
8,1,1,KLP,6,GR,10,2,8,MNPV
9,1,1,BAN,30,DO,10,2,8,MNPV
10,1,1,BAN,10,DO,10,0,10,MNPV
11,1,1,BAN,30,GR,8,2,6,MNPV
12,1,1,BAN,10,GR,3,0,3,MNPV
13,1,1,CUB,25,DO,7,1,6,SNPV
14,1,1,CUB,6,DO,11,2,9,SNPV
15,1,1,CUB,25,GR,11,0,11,SNPV
16,1,1,CUB,6,GR,6,0,6,SNPV
17,1,1,LST,25,DO,7,1,6,SNPV
18,1,1,LST,6,DO,18,2,16,SNPV
19,1,1,LST,25,GR,8,0,8,SNPV
20,1,1,LST,6,GR,6,0,6,SNPV
21,1,1,COL,25,DO,11,0,11,SNPV
22,1,1,COL,6,DO,10,5,5,SNPV
23,1,1,COL,25,GR,9,1,8,SNPV
24,1,1,COL,6,GR,7,0,7,SNPV
29,2,1,NMX,30,DO,11,5,6,MNPV
30,2,1,NMX,10,DO,9,2,7,MNPV
31,2,1,NMX,30,GR,9,0,9,MNPV
32,2,1,NMX,10,GR,8,2,6,MNPV
33,2,1,KLP,30,DO,8,0,8,MNPV
34,2,1,KLP,6,DO,5,0,5,MNPV
35,2,1,KLP,30,GR,9,3,6,MNPV
36,2,1,KLP,6,GR,9,0,9,MNPV
37,2,1,BAN,30,DO,10,0,10,MNPV
38,2,1,BAN,10,DO,10,0,10,MNPV
39,2,1,BAN,30,GR,10,2,8,MNPV
40,2,1,BAN,10,GR,9,1,8,MNPV
41,2,1,CUB,25,DO,8,0,8,SNPV
42,2,1,CUB,6,DO,9,0,9,SNPV
43,2,1,CUB,25,GR,10,4,6,SNPV
44,2,1,CUB,6,GR,9,0,9,SNPV
45,2,1,LST,25,DO,9,0,9,SNPV
46,2,1,LST,6,DO,6,0,6,SNPV
47,2,1,LST,25,GR,9,3,6,SNPV
48,2,1,LST,6,GR,10,0,10,SNPV
49,2,1,COL,25,DO,9,4,5,SNPV
50,2,1,COL,6,DO,8,0,8,SNPV
51,2,1,COL,25,GR,11,1,10,SNPV
52,2,1,COL,6,GR,7,1,6,SNPV
53,3,1,NMX,30,DO,10,0,10,MNPV
54,3,1,NMX,10,DO,8,0,8,MNPV
55,3,1,NMX,30,GR,8,0,8,MNPV
56,3,1,NMX,10,GR,13,4,9,MNPV
57,3,1,KLP,30,DO,9,1,8,MNPV
58,3,1,KLP,6,DO,10,1,9,MNPV
59,3,1,KLP,30,GR,11,0,11,MNPV
60,3,1,KLP,6,GR,9,0,9,MNPV
61,3,1,BAN,30,DO,8,0,8,MNPV
62,3,1,BAN,10,DO,6,0,6,MNPV
63,3,1,BAN,30,GR,12,0,12,MNPV
64,3,1,BAN,10,GR,12,0,12,MNPV
65,3,1,CUB,25,DO,12,0,12,SNPV
66,3,1,CUB,6,DO,12,0,12,SNPV
67,3,1,CUB,25,GR,10,1,9,SNPV
68,3,1,CUB,6,GR,8,0,8,SNPV
69,3,1,LST,25,DO,10,0,10,SNPV
70,3,1,LST,6,DO,13,0,13,SNPV
71,3,1,LST,25,GR,10,2,8,SNPV
72,3,1,LST,6,GR,9,0,9,SNPV
73,3,1,COL,25,DO,11,3,8,SNPV
74,3,1,COL,6,DO,7,0,7,SNPV
75,3,1,COL,25,GR,13,1,12,SNPV
76,3,1,COL,6,GR,9,0,9,SNPV
77,4,2,NMX,30,DO,10,2,8,MNPV
78,4,2,NMX,10,DO,10,0,10,MNPV
79,4,2,NMX,30,GR,6,1,5,MNPV
80,4,2,NMX,10,GR,10,2,8,MNPV
81,4,2,KLP,23,DO,8,0,8,MNPV
82,4,2,KLP,5,DO,8,0,8,MNPV
83,4,2,KLP,23,GR,10,2,8,MNPV
84,4,2,KLP,5,GR,4,0,4,MNPV
85,4,2,BAN,30,DO,8,0,8,MNPV
86,4,2,BAN,10,DO,6,0,6,MNPV
87,4,2,BAN,30,GR,7,2,5,MNPV
88,4,2,BAN,10,GR,9,0,9,MNPV
89,4,2,CUB,25,DO,10,1,9,SNPV
90,4,2,CUB,6,DO,6,0,6,SNPV
91,4,2,CUB,25,GR,10,0,10,SNPV
92,4,2,CUB,6,GR,9,0,9,SNPV
93,4,2,LST,25,DO,9,0,9,SNPV
94,4,2,LST,6,DO,10,0,10,SNPV
95,4,2,LST,25,GR,10,1,9,SNPV
96,4,2,LST,6,GR,10,0,10,SNPV
97,4,2,COL,25,DO,9,0,9,SNPV
98,4,2,COL,6,DO,9,0,9,SNPV
99,4,2,COL,25,GR,7,1,6,SNPV
100,4,2,COL,6,GR,10,0,10,SNPV
101,4,2,LOV,15,DO,7,0,7,SNPV
102,4,2,LOV,5,DO,8,0,8,SNPV
103,4,2,LOV,15,GR,9,0,9,SNPV
104,4,2,LOV,5,GR,9,0,9,SNPV
105,4,2,TMB,29,DO,8,2,6,MNPV
106,4,2,TMB,9,DO,8,2,6,MNPV
107,4,2,TMB,29,GR,10,4,6,MNPV
108,4,2,TMB,9,GR,10,2,8,MNPV
111,1,2,LOV,15,DO,5,0,5,SNPV
112,1,2,LOV,5,DO,8,0,8,SNPV
113,1,2,LOV,15,GR,8,0,8,SNPV
114,1,2,LOV,5,GR,7,0,7,SNPV
115,1,2,TMB,29,DO,8,0,8,MNPV
116,1,2,TMB,9,DO,8,0,8,MNPV
118,1,2,TMB,9,GR,9,0,9,MNPV
119,2,2,LOV,15,DO,9,2,7,SNPV
120,2,2,LOV,15,GR,6,0,6,SNPV
121,2,2,LOV,5,GR,10,0,10,SNPV
122,2,2,TMB,29,DO,5,0,5,MNPV
123,2,2,TMB,9,DO,8,1,7,MNPV
124,2,2,TMB,29,GR,9,4,5,MNPV
125,2,2,TMB,9,GR,8,0,8,MNPV
126,3,2,LOV,15,DO,7,0,7,SNPV
127,3,2,LOV,5,DO,10,0,10,SNPV
128,3,2,LOV,15,GR,7,0,7,SNPV
129,3,2,LOV,5,GR,8,0,8,SNPV
130,3,2,TMB,29,DO,9,1,8,MNPV
131,3,2,TMB,9,DO,3,0,3,MNPV
132,3,2,TMB,29,GR,10,3,7,MNPV
133,3,2,TMB,9,GR,7,2,5,MNPV
134,5,2,LST,6,DO,9,0,9,SNPV
135,5,3,NMX,25,DO,23,1,22,MNPV
136,5,3,NMX,6,DO,25,1,24,MNPV
137,5,3,NMX,25,GR,20,1,19,MNPV
138,5,3,NMX,6,GR,18,0,18,MNPV
139,5,3,KLP,19,DO,18,0,18,MNPV
140,5,3,KLP,5,DO,22,0,22,MNPV
141,5,3,KLP,19,GR,10,0,10,MNPV
142,5,3,KLP,5,GR,24,1,23,MNPV
143,5,3,BAN,30,DO,21,0,21,MNPV
144,5,3,BAN,10,DO,18,0,18,MNPV
145,5,3,BAN,30,GR,19,10,9,MNPV
146,5,3,BAN,10,GR,21,2,19,MNPV
147,5,3,CUB,25,DO,24,1,23,SNPV
148,5,3,CUB,6,DO,20,0,20,SNPV
149,5,3,LST,15,DO,18,1,17,SNPV
150,5,3,LST,15,GR,22,0,22,SNPV
151,5,3,LST,5,GR,23,1,22,SNPV
152,5,3,COL,25,DO,11,1,10,SNPV
153,5,3,COL,6,DO,16,0,16,SNPV
154,5,3,COL,25,GR,15,0,15,SNPV
155,5,3,COL,6,GR,25,6,19,SNPV
156,5,3,TMB,30,DO,22,4,18,MNPV
157,5,3,TMB,10,DO,11,0,11,MNPV
158,5,3,TMB,30,GR,24,3,21,MNPV
159,5,3,TMB,10,GR,18,1,17,MNPV